id,sex,age,city,employment,Salary,Scoring ,Segment ,Default_ind,Country of Residence ,Education
1,Female,24,Ciudad de México,FULL_TIME,18000,0,A,-1,Mexico,BACCALAUREATE
2,Male,22,Zapopan,AUTONOMIC,8000,28,A,-1,Mexico,UNIVERSITY
3,Male,24,Culiacán Rosales,FULL_TIME,6000,50,A,-1,Mexico,BACCALAUREATE
4,Male,38,Cozumel,FULL_TIME,7600,47,A,-1,Mexico,BACCALAUREATE
5,Male,27,Gustavo A. Madero,FULL_TIME,8000,60,A,-1,Mexico,BACCALAUREATE
6,Male,27,Temoac,FULL_TIME,11000,63,A,-1,Mexico,BACCALAUREATE
7,Female,26,Colima,FULL_TIME,13488,60,A,-1,Mexico,BACCALAUREATE
8,Male,38,Ciudad de México,AUTONOMIC,8000,47,A,-1,Mexico,BACCALAUREATE
9,Male,32,Fortín de las Flores,FULL_TIME,7000,35,A,-1,Mexico,BASIC_EDUCATION
10,Female,29,Ciudad de México,AUTONOMIC,10000,56,A,-1,Mexico,BASIC_EDUCATION
11,Male,22,Apatzingán de la Constitución,AUTONOMIC,10000,44,A,-1,Mexico,BACCALAUREATE
12,Male,29,Querétaro,FULL_TIME,15000,80,A,-1,Mexico,UNIVERSITY
13,Male,37,Huehuetoca,FULL_TIME,8000,16,A,-1,Mexico,BASIC_EDUCATION
14,Female,28,Mexicali,FULL_TIME,9000,63,A,-1,Mexico,BACCALAUREATE
15,Male,33,San Juan Bautista Tuxtepec,FULL_TIME,9800,60,A,-1,Mexico,BACCALAUREATE
16,Male,29,Ciudad de México,AUTONOMIC,25000,53,A,-1,Mexico,BACCALAUREATE
17,Male,44,Irapuato,AUTONOMIC,6500,38,A,-1,Mexico,BASIC_EDUCATION
18,Male,26,Ensenada,FULL_TIME,10000,10,A,-1,Mexico,BASIC_EDUCATION
19,Male,20,Tangamandapio,FULL_TIME,12000,55,A,-1,Mexico,BACCALAUREATE
20,Male,29,Tulancingo,AUTONOMIC,22000,36,A,-1,Mexico,BASIC_EDUCATION
21,Female,19,Ciudad Obregón,AUTONOMIC,10000,40,A,-1,Mexico,BASIC_EDUCATION
22,Male,23,Cancún,FULL_TIME,9000,23,A,-1,Mexico,BACCALAUREATE
23,Female,42,Ciudad de México,AUTONOMIC,20000,76,A,-1,Mexico,UNIVERSITY
24,Male,32,MEXICO,AUTONOMIC,10000,66,A,-1,Mexico,BACCALAUREATE
25,Male,42,Boca del Río,FULL_TIME,20000,86,A,-1,Mexico,UNIVERSITY
26,Male,18,Tijuana,FULL_TIME,12000,20,A,-1,Mexico,BASIC_EDUCATION
27,Male,46,Mérida,FULL_TIME,66000,91,A,-1,Mexico,UNIVERSITY
28,Male,31,Acapulco de Juárez,AUTONOMIC,9431,47,A,-1,Mexico,BACCALAUREATE
29,Male,54,Toluca,FULL_TIME,13500,112,A,0,Mexico,UNIVERSITY
30,Male,58,Toluca de Lerdo,AUTONOMIC,35000,49,A,-1,Mexico,UNIVERSITY
31,Male,29,Ecatepec de Morelos,FULL_TIME,10000,63,A,-1,Mexico,BACCALAUREATE
32,Male,51,Lagos de Moreno,AUTONOMIC,9000,14,A,-1,Mexico,BASIC_EDUCATION
33,Male,29,Cancún,FULL_TIME,8000,53,A,-1,Mexico,BACCALAUREATE
34,Male,27,Tlalnepantla de Baz,FULL_TIME,9000,80,A,-1,Mexico,BACCALAUREATE
35,Male,42,Córdoba,FULL_TIME,20000,79,A,-1,Mexico,UNIVERSITY
36,Male,32,Cancún,FULL_TIME,9000,76,A,-1,Mexico,BACCALAUREATE
37,Male,22,Las Guacamayas,FULL_TIME,16000,51,A,-1,Mexico,BACCALAUREATE
38,Male,42,Tlalnepantla de Baz,AUTONOMIC,25000,67,A,-1,Mexico,UNIVERSITY
39,Female,18,Cancún,PART_TIME,9000,20,A,-1,Mexico,BACCALAUREATE
40,Female,27,Ciudad de México,FULL_TIME,15000,93,A,-1,Mexico,UNIVERSITY
41,Male,29,Ciudad de México,FULL_TIME,8000,44,A,-1,Mexico,BACCALAUREATE
42,Male,30,Ciudad de México,FULL_TIME,15800,56,A,-1,Mexico,BACCALAUREATE
43,Male,25,Progreso de Obregón,FULL_TIME,12000,50,A,-1,Mexico,BACCALAUREATE
44,Male,19,Tonalá,FULL_TIME,10000,51,A,-1,Mexico,BACCALAUREATE
45,Female,53,Ciudad de México,FULL_TIME,5500,18,A,-1,Mexico,BASIC_EDUCATION
46,Male,35,Medellín de Bravo,AUTONOMIC,9000,47,A,-1,Mexico,BACCALAUREATE
47,Female,37,San Luis Potosí,FULL_TIME,12000,66,A,-1,Mexico,BACCALAUREATE
48,Female,45,Soledad de Graciano Sánchez,FULL_TIME,18000,54,A,-1,Mexico,BACCALAUREATE
49,Female,35,Ecatepec de Morelos,FULL_TIME,9000,79,A,-1,Mexico,UNIVERSITY
50,Female,26,Ciudad de México,FULL_TIME,22000,47,A,-1,Mexico,BASIC_EDUCATION
51,Male,48,Ciudad Obregón,AUTONOMIC,20000,58,A,-1,Mexico,UNIVERSITY
52,Female,74,Corregidora,PENSIONER,18000,58,A,-1,Mexico,BACCALAUREATE
53,Male,38,Tantoyuca,FULL_TIME,8000,99,A,-1,Mexico,UNIVERSITY
54,Male,40,Irapuato,AUTONOMIC,7500,56,A,-1,Mexico,BACCALAUREATE
55,Male,26,Acolman,FULL_TIME,9000,67,A,-1,Mexico,BACCALAUREATE
56,Male,45,Villahermosa,FULL_TIME,12000,55,A,-1,Mexico,BACCALAUREATE
57,Female,30,Zacatecas,AUTONOMIC,25000,93,A,-1,Mexico,BACCALAUREATE
58,Male,36,San Nicolás de los Garza,FULL_TIME,17000,116,A,-1,Mexico,UNIVERSITY
59,Male,33,Cuautitlán Izcalli,TEMPORAL,10000,66,A,-1,Mexico,BACCALAUREATE
60,Male,19,Cancún,AUTONOMIC,13000,41,A,-1,Mexico,UNIVERSITY
61,Male,35,Juan C. Bonilla,FULL_TIME,31000,99,A,-1,Mexico,UNIVERSITY
62,Male,27,Ciudad Nezahualcóyotl,FULL_TIME,23000,86,A,-1,Mexico,UNIVERSITY
63,Female,42,Ciudad de México,FULL_TIME,6300,66,A,-1,Mexico,BACCALAUREATE
64,Female,23,Monterrey,PART_TIME,5000,41,A,-1,Mexico,BASIC_EDUCATION
65,Female,41,Gustavo A. Madero,FULL_TIME,10000,77,A,-1,Mexico,BACCALAUREATE
66,Male,43,Juárez,FULL_TIME,6000,49,A,-1,Mexico,BASIC_EDUCATION
67,Male,45,Puebla (Heroica Puebla),AUTONOMIC,12000,70,A,-1,Mexico,BACCALAUREATE
68,Male,41,Mineral de la Reforma,AUTONOMIC,20000,93,A,-1,Mexico,BACCALAUREATE
69,Male,26,Delicias,FULL_TIME,8030,73,A,-1,Mexico,UNIVERSITY
70,Female,25,Oaxaca,FULL_TIME,6000,50,A,-1,Mexico,BACCALAUREATE
71,Female,46,Victoria de Durango,AUTONOMIC,12000,41,A,-1,Mexico,BASIC_EDUCATION
72,Female,19,Tlahuelilpan,PART_TIME,7000,10,A,-1,Mexico,BACCALAUREATE
73,Male,31,Mérida,TEMPORAL,16000,35,A,-1,Mexico,BASIC_EDUCATION
74,Male,32,Ciudad Adolfo López Mateos,FULL_TIME,6000,68,A,-1,Mexico,BACCALAUREATE
75,Female,25,Ciudad de México,FULL_TIME,10000,79,A,-1,Mexico,BACCALAUREATE
76,Male,39,Mérida,FULL_TIME,18000,33,A,-1,Mexico,BACCALAUREATE
77,Female,44,Guadalajara,RETIRED,13000,74,A,-1,Mexico,UNIVERSITY
78,Female,34,Coatzacoalcos,FULL_TIME,8000,89,A,-1,Mexico,UNIVERSITY
79,Male,36,Veracruz,FULL_TIME,9000,74,A,-1,Mexico,UNIVERSITY
80,Male,39,Ixtapaluca,FULL_TIME,7000,76,A,-1,Mexico,BACCALAUREATE
81,Male,34,Puebla (Heroica Puebla),AUTONOMIC,20000,78,A,-1,Mexico,BACCALAUREATE
82,Male,34,Benito Juárez,AUTONOMIC,8000,62,A,-1,Mexico,BASIC_EDUCATION
83,Female,26,Veracruz,FULL_TIME,9000,39,A,-1,Mexico,BASIC_EDUCATION
84,Female,64,Tuxtla Gutiérrez,AUTONOMIC,6000,89,A,-1,Mexico,BACCALAUREATE
85,Female,40,Hidalgo del Parral,FULL_TIME,6000,64,A,-1,Mexico,BACCALAUREATE
86,Male,50,Veracruz,FULL_TIME,11000,70,A,-1,Mexico,BACCALAUREATE
87,Male,26,Monterrey,FULL_TIME,13000,104,A,-1,Mexico,UNIVERSITY
88,Male,40,Coatzacoalcos,FULL_TIME,7000,49,A,-1,Mexico,BASIC_EDUCATION
89,Female,45,Ciudad de México,AUTONOMIC,6000,115,A,0,Mexico,BACCALAUREATE
90,Male,25,León de los Aldama,AUTONOMIC,16000,58,A,-1,Mexico,BACCALAUREATE
91,Male,28,Ciudad de México,FULL_TIME,7000,53,A,-1,Mexico,BACCALAUREATE
92,Male,39,Azcapotzalco,FULL_TIME,10000,47,A,-1,Mexico,BACCALAUREATE
93,Male,28,Querétaro,AUTONOMIC,15000,117,A,-1,Mexico,UNIVERSITY
94,Female,29,Ixtapangajoya,PART_TIME,6100,30,A,-1,Mexico,BACCALAUREATE
95,Female,24,Guadalajara,FULL_TIME,7000,74,A,-1,Mexico,UNIVERSITY
96,Female,38,Juárez,FULL_TIME,6200,33,A,-1,Mexico,BASIC_EDUCATION
97,Female,41,Ciudad del Carmen,AUTONOMIC,8560,57,A,-1,Mexico,BASIC_EDUCATION
98,Male,45,Puebla (Heroica Puebla),AUTONOMIC,12000,80,A,1,Mexico,UNIVERSITY
99,Female,31,Zamora de Hidalgo,FULL_TIME,5200,47,A,-1,Mexico,BASIC_EDUCATION
100,Male,39,Juárez,AUTONOMIC,12000,72,A,-1,Mexico,BASIC_EDUCATION
101,Female,25,Cuautla,FULL_TIME,5200,72,A,-1,Mexico,BACCALAUREATE
102,Female,27,Tlaola,AUTONOMIC,12000,90,A,-1,Mexico,BACCALAUREATE
103,Male,34,Monterrey,FULL_TIME,15000,111,A,-1,Mexico,UNIVERSITY
104,Male,33,Perote,FULL_TIME,12000,99,A,-1,Mexico,UNIVERSITY
105,Male,35,Veracruz,FULL_TIME,10000,67,A,-1,Mexico,BACCALAUREATE
106,Male,35,Centro,FULL_TIME,8000,66,A,-1,Mexico,BACCALAUREATE
107,Male,30,Puebla,FULL_TIME,12000,76,A,-1,Mexico,BACCALAUREATE
108,Male,34,Mérida,FULL_TIME,9000,83,A,-1,Mexico,BACCALAUREATE
109,Female,20,Acapulco de Juárez,FULL_TIME,6000,51,A,-1,Mexico,BACCALAUREATE
110,Male,35,Chimalhuacán,AUTONOMIC,25000,76,A,-1,Mexico,BACCALAUREATE
111,Male,39,Coatzacoalcos,FULL_TIME,12000,85,A,-1,Mexico,BACCALAUREATE
112,Male,37,Puebla (Heroica Puebla),FULL_TIME,6000,80,A,-1,Mexico,UNIVERSITY
113,Male,51,Ciudad Santa Catarina,FULL_TIME,45000,91,A,-1,Mexico,UNIVERSITY
114,Male,41,Ciudad de México,FULL_TIME,12000,67,A,-1,Mexico,BASIC_EDUCATION
115,Male,40,Juárez,FULL_TIME,11700,45,A,-1,Mexico,BASIC_EDUCATION
116,Male,29,Mérida,FULL_TIME,8000,60,A,-1,Mexico,BACCALAUREATE
117,Male,22,Ciudad Madero,AUTONOMIC,6000,1,A,-1,Mexico,BASIC_EDUCATION
118,Male,32,Jiutepec,FULL_TIME,15000,65,A,-1,Mexico,BACCALAUREATE
119,Male,22,Gómez Palacio,AUTONOMIC,7500,31,A,-1,Mexico,BACCALAUREATE
120,Male,25,Ciudad de México,FULL_TIME,8000,39,A,-1,Mexico,BASIC_EDUCATION
121,Male,26,Gómez Palacio,FULL_TIME,7000,41,A,-1,Mexico,BACCALAUREATE
122,Male,30,Ciudad Nezahualcóyotl,AUTONOMIC,40000,88,A,-1,Mexico,UNIVERSITY
123,Male,26,San Pedro Cholula,FULL_TIME,5600,50,A,-1,Mexico,BACCALAUREATE
124,Male,29,General Zuazua,FULL_TIME,9000,90,A,-1,Mexico,BACCALAUREATE
125,Male,34,Autlán de Navarro,FULL_TIME,14150,34,A,-1,Mexico,BACCALAUREATE
126,Male,26,Guadalupe,FULL_TIME,10000,32,A,-1,Mexico,BASIC_EDUCATION
127,Female,36,Poza Rica de Hidalgo,PART_TIME,12000,64,A,-1,Mexico,UNIVERSITY
128,Male,43,Ciudad General Escobedo,FULL_TIME,40000,99,A,0,Mexico,UNIVERSITY
129,Male,24,Cancún,AUTONOMIC,7200,77,A,-1,Mexico,UNIVERSITY
130,Male,29,Veracruz,FULL_TIME,10000,63,A,-1,Mexico,UNIVERSITY
131,Female,29,Cosoleacaque,AUTONOMIC,8500,43,A,-1,Mexico,UNIVERSITY
132,Male,28,Ciudad de México,FULL_TIME,21000,76,A,-1,Mexico,UNIVERSITY
133,Female,38,León de los Aldama,FULL_TIME,11000,104,A,-1,Mexico,UNIVERSITY
134,Female,22,Ciudad de México,AUTONOMIC,8000,41,A,-1,Mexico,BACCALAUREATE
135,Male,40,Guadalajara,FULL_TIME,25000,57,A,-1,Mexico,BASIC_EDUCATION
136,Female,41,Coatzacoalcos,FULL_TIME,20000,91,A,0,Mexico,UNIVERSITY
137,Male,26,San Francisco de Campeche,AUTONOMIC,5000,60,A,-1,Mexico,BACCALAUREATE
138,Male,45,Zapopan,FULL_TIME,18000,87,A,-1,Mexico,BACCALAUREATE
139,Female,62,Santiago Tuxtla,FULL_TIME,12000,91,A,-1,Mexico,UNIVERSITY
140,Male,26,Chihuahua,FULL_TIME,7000,30,A,-1,Mexico,BASIC_EDUCATION
141,Female,47,Tijuana,AUTONOMIC,10000,47,A,-1,Mexico,BASIC_EDUCATION
142,Male,23,Nextlalpan,AUTONOMIC,6500,47,A,-1,Mexico,BASIC_EDUCATION
143,Female,29,Puebla (Heroica Puebla),AUTONOMIC,8000,63,A,-1,Mexico,BACCALAUREATE
144,Male,41,Ciudad Lázaro Cárdenas,AUTONOMIC,10000,26,A,-1,Mexico,BASIC_EDUCATION
145,Male,38,Mérida,FULL_TIME,7000,56,A,-1,Mexico,BASIC_EDUCATION
146,Male,37,Guadalajara,FULL_TIME,8900,55,A,-1,Mexico,BACCALAUREATE
147,Male,41,PUEBLA,AUTONOMIC,33000,78,A,-1,Mexico,UNIVERSITY
148,Female,18,San Pedro Pochutla,FULL_TIME,7000,51,A,-1,Mexico,BACCALAUREATE
149,Male,49,Guadalupe,FULL_TIME,28000,111,A,-1,Mexico,UNIVERSITY
150,Male,26,Ciudad de México,FULL_TIME,8200,83,A,-1,Mexico,UNIVERSITY
151,Female,37,zapopan,FULL_TIME,13000,142,A,-1,Mexico,UNIVERSITY
152,Female,22,Ciudad de México,FULL_TIME,6200,20,A,-1,Mexico,BASIC_EDUCATION
153,Male,24,Perote,FULL_TIME,7000,60,A,-1,Mexico,BACCALAUREATE
154,Male,23,Ecatepec de Morelos,AUTONOMIC,6000,37,A,-1,Mexico,BASIC_EDUCATION
155,Male,44,Arteaga,FULL_TIME,14000,76,A,-1,Mexico,BASIC_EDUCATION
156,Male,54,Chimalhuacán,FULL_TIME,20000,80,A,1,Mexico,BACCALAUREATE
157,Male,36,Puebla (Heroica Puebla),AUTONOMIC,12000,57,A,-1,Mexico,BACCALAUREATE
158,Female,33,Juárez,AUTONOMIC,6500,76,A,-1,Mexico,BACCALAUREATE
159,Male,31,Rioverde,FULL_TIME,8400,99,A,-1,Mexico,UNIVERSITY
160,Male,34,Ciudad de México,FULL_TIME,35000,82,A,-1,Mexico,UNIVERSITY
161,Female,50,Ciudad Santa Catarina,FULL_TIME,35000,81,A,-1,Mexico,UNIVERSITY
162,Male,44,Guadalajara,FULL_TIME,14000,37,A,-1,Mexico,BASIC_EDUCATION
163,Male,26,Ciudad Adolfo López Mateos,FULL_TIME,9500,90,A,-1,Mexico,UNIVERSITY
164,Female,68,Monterrey,PENSIONER,23000,89,A,-1,Mexico,UNIVERSITY
165,Male,26,Ciudad de México,AUTONOMIC,12000,66,A,-1,Mexico,BASIC_EDUCATION
166,Male,55,Ciudad del Carmen,FULL_TIME,8000,79,A,-1,Mexico,BACCALAUREATE
167,Male,49,Ciudad de México,FULL_TIME,7000,68,A,-1,Mexico,BACCALAUREATE
168,Male,35,Altamira,FULL_TIME,37000,38,A,-1,Mexico,BASIC_EDUCATION
169,Female,38,León de los Aldama,AUTONOMIC,8000,35,A,-1,Mexico,BASIC_EDUCATION
170,Female,28,Juárez,FULL_TIME,5000,49,A,-1,Mexico,BASIC_EDUCATION
171,Male,22,Ciudad General Escobedo,AUTONOMIC,6000,51,A,-1,Mexico,BACCALAUREATE
172,Female,48,Ciudad de México,AUTONOMIC,15000,90,A,-1,Mexico,UNIVERSITY
173,Male,31,Altamira,FULL_TIME,8000,56,A,-1,Mexico,BACCALAUREATE
174,Male,18,Ciudad de México,AUTONOMIC,6000,10,A,-1,Mexico,BASIC_EDUCATION
