ID;Make;Model;Year;Trim;Colors exterior;Colors interior;Body type;Total seating;Length (in);Width (in);Height (in);Wheelbase (in);Ground clearance (in);Drive type;Transmission;Engine type;Fuel type;Domestic / imported;Country of origin;Car classification
200729833;BMW;3 Series;2016;320i 4dr Sedan (2.0L 4cyl Turbo 8A);Jet Black;Black Dakota;Sedan;5;182;71;56;111;6;rear wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741593;BMW;3 Series;2016;320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A);Jet Black;Black Dakota;Sedan;5;182;71;57;111;6;all wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741592;BMW;3 Series;2016;328i 4dr Sedan (2.0L 4cyl Turbo 6M);Jet Black;Venetian Beige;Sedan;5;182;71;56;111;6;rear wheel drive;6-speed manual;gas;premium unleaded (required);Imported;Germany;Compact car
200741591;BMW;3 Series;2016;328i SULEV 4dr Sedan (2.0L 4cyl Turbo 8A);Jet Black;Venetian Beige;Sedan;5;182;71;56;111;6;rear wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741590;BMW;3 Series;2016;328i xDrive SULEV 4dr Sedan AWD (2.0L 4cyl Turbo 8A);Jet Black;Venetian Beige;Sedan;5;182;71;57;111;6;all wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741587;BMW;3 Series;2016;340i 4dr Sedan (3.0L 6cyl Turbo 8A);Jet Black;Venetian Beige;Sedan;5;182;71;56;111;6;rear wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741586;BMW;3 Series;2016;340i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A);Jet Black;Venetian Beige;Sedan;5;182;71;57;111;6;all wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
200741594;BMW;3 Series;2016;328d 4dr Sedan (2.0L 4cyl Turbodiesel 8A);Jet Black;Venetian Beige;Sedan;5;182;71;56;111;6;rear wheel drive;8-speed shiftable automatic;diesel;diesel fuel;Imported;Germany;Compact car
200741588;BMW;3 Series;2016;328d xDrive 4dr Sedan AWD (2.0L 4cyl Turbodiesel 8A);Jet Black;Venetian Beige;Sedan;5;182;71;57;111;6;all wheel drive;8-speed shiftable automatic;diesel;diesel fuel;Imported;Germany;Compact car
200741589;BMW;3 Series;2016;328d xDrive 4dr Wagon AWD (2.0L 4cyl Turbodiesel 8A);Jet Black;Venetian Beige;Wagon;5;182;71;56;111;6;all wheel drive;8-speed shiftable automatic;diesel;diesel fuel;Imported;Germany;Compact car
200741585;BMW;3 Series;2016;328i xDrive 4dr Wagon AWD (2.0L 4cyl Turbo 8A);Jet Black;Venetian Beige;Wagon;5;182;71;57;111;6;all wheel drive;8-speed shiftable automatic;gas;premium unleaded (required);Imported;Germany;Compact car
401638449;BMW;3 Series;2016;330e 4dr Sedan (2.0L 4cyl Turbo gas/electric hybrid 8A);Jet Black;Black SensaTec w/Red Highlight;Sedan;5;182;71;56;111;6;rear wheel drive;8-speed shiftable automatic;hybrid;premium unleaded (required);Imported;Germany;Compact car
401566521;BMW;3 Series;2016;M3 4dr Sedan (3.0L 6cyl Turbo 6M);Mediterranean Blue Metallic;Sakhir Orange/Black Full Merino;Sedan;5;184;74;56;111;5;rear wheel drive;6-speed manual;gas;premium unleaded (required);Imported;Germany;Compact car
401729246;BMW;3 Series;2018;320i 4dr Sedan (2.0L 4cyl Turbo 8A);Black Sapphire Metallic;Black Dakota;Sedan;5;183;71;56;111;6;rear wheel drive;8-speed shiftable automatic;gas;premium unleaded (recommended);Imported;Germany;Compact car
401729240;BMW;3 Series;2018;320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A);Alpine White;Black Dakota;Sedan;5;183;71;57;111;6;all wheel drive;8-speed shiftable automatic;gas;premium unleaded (recommended);Imported;Germany;Compact car
401729243;BMW;3 Series;2018;330i 4dr Sedan (2.0L 4cyl Turbo 8A);Alpine White;Black Dakota w/Dark Oyster Highlight;Sedan;5;183;71;56;111;6;rear wheel drive;8-speed shiftable automatic;gas;premium unleaded (recommended);Imported;Germany;Compact car
